iter	Passed	Remaining
729	3672	1358
730	3674	1352
731	3676	1346
732	3679	1340
733	3683	1334
734	3685	1328
735	3688	1323
736	3691	1317
737	3695	1312
738	3699	1306
739	3701	1300
740	3703	1294
741	3706	1288
742	3709	1283
743	3714	1277
744	3716	1272
745	3718	1266
746	3721	1260
747	3723	1254
748	3726	1248
749	3730	1243
750	3733	1237
751	3735	1232
752	3738	1226
753	3740	1220
754	3744	1215
755	3747	1209
756	3750	1203
757	3752	1197
758	3754	1192
759	3757	1186
760	3762	1181
761	3764	1175
762	3766	1170
763	3769	1164
764	3771	1158
765	3774	1152
766	3778	1147
767	3781	1142
768	3783	1136
769	3786	1131
770	3789	1125
771	3793	1120
772	3796	1114
773	3798	1109
774	3801	1103
775	3803	1098
776	3806	1092
777	3811	1087
778	3813	1081
779	3815	1076
780	3818	1070
781	3820	1065
782	3824	1059
783	3827	1054
784	3829	1048
785	3832	1043
786	3835	1037
787	3838	1032
788	3842	1027
789	3844	1022
790	3847	1016
791	3849	1011
792	3852	1005
793	3856	1000
794	3859	995
795	3861	989
796	3863	984
797	3866	978
798	3868	973
799	3872	968
800	3875	962
801	3877	957
802	3881	952
803	3883	946
804	3887	941
805	3890	936
806	3893	931
807	3895	925
808	3898	920
809	3900	915
810	3905	910
811	3907	904
812	3910	899
813	3913	894
814	3916	888
815	3919	883
816	3922	878
817	3925	873
818	3927	867
819	3930	862
820	3932	857
821	3935	852
822	3939	847
823	3942	842
824	3944	836
825	3947	831
826	3949	826
827	3954	821
828	3957	816
829	3959	810
830	3961	805
831	3964	800
832	3966	795
833	3971	790
834	3973	785
835	3976	780
836	3979	774
837	3982	769
838	3986	765
839	3989	759
840	3991	754
841	3993	749
842	3996	744
843	4000	739
844	4003	734
845	4005	729
846	4008	724
847	4010	718
848	4012	713
849	4016	708
850	4019	703
851	4022	698
852	4024	693
853	4026	688
854	4029	683
855	4033	678
856	4036	673
857	4038	668
858	4041	663
859	4043	658
860	4046	653
861	4050	648
862	4052	643
863	4055	638
864	4057	633
865	4060	628
866	4063	623
867	4067	618
868	4069	613
869	4072	608
870	4075	603
871	4080	598
872	4083	594
873	4085	589
874	4088	584
875	4090	579
876	4093	574
877	4098	569
878	4100	564
879	4102	559
880	4105	554
881	4107	549
882	4109	544
883	4114	539
884	4116	534
885	4118	529
886	4121	525
887	4123	520
888	4126	515
889	4130	510
890	4133	505
891	4135	500
892	4137	495
893	4140	490
894	4143	486
895	4147	481
896	4149	476
897	4152	471
898	4154	466
899	4157	461
900	4162	457
901	4165	452
902	4167	447
903	4170	442
904	4173	438
905	4178	433
906	4180	428
907	4183	423
908	4185	419
909	4188	414
910	4193	409
911	4195	404
912	4198	400
913	4200	395
914	4203	390
915	4205	385
916	4210	381
917	4213	376
918	4215	371
919	4218	366
920	4220	362
921	4224	357
922	4227	352
923	4229	347
924	4231	343
925	4234	338
926	4236	333
927	4240	329
928	4243	324
929	4245	319
930	4248	314
931	4251	310
932	4253	305
933	4257	300
934	4260	296
935	4262	291
936	4265	286
937	4268	282
938	4272	277
939	4275	272
940	4277	268
941	4280	263
942	4283	258
943	4285	254
944	4290	249
945	4293	245
946	4295	240
947	4297	235
948	4300	231
949	4304	226
950	4307	221
951	4309	217
952	4311	212
953	4314	208
954	4317	203
955	4321	198
956	4323	194
957	4325	189
958	4328	185
959	4330	180
960	4333	175
961	4337	171
962	4340	166
963	4342	162
964	4345	157
965	4347	153
966	4350	148
967	4354	143
968	4356	139
969	4359	134
970	4361	130
971	4364	125
972	4370	121
973	4372	116
974	4374	112
975	4377	107
976	4380	103
977	4384	98
978	4387	94
979	4390	89
980	4393	85
981	4396	80
982	4399	76
983	4403	71
984	4406	67
985	4408	62
986	4410	58
987	4412	53
988	4417	49
989	4420	44
990	4422	40
991	4424	35
992	4427	31
993	4429	26
994	4434	22
995	4436	17
996	4439	13
997	4442	8
998	4444	4
999	4447	0
