iter	RMSE
0	0.3878006193
1	0.3767163665
2	0.3670964429
3	0.3576214746
4	0.3486914405
5	0.3398358911
6	0.3313061078
7	0.3236243589
8	0.3160286275
9	0.3078415253
10	0.3005108712
11	0.2934153495
12	0.2863975883
13	0.280013962
14	0.274011173
15	0.2679590371
16	0.2626142936
17	0.2571953791
18	0.2515492364
19	0.2468229703
20	0.2419322666
21	0.2371562869
22	0.2326609037
23	0.2285589846
24	0.2245580549
25	0.2204105095
26	0.2165502959
27	0.21309274
28	0.2094647226
29	0.2062139436
30	0.2032632739
31	0.2000554624
32	0.1967547478
33	0.1937512631
34	0.1908589299
35	0.1883757383
36	0.1856869888
37	0.1833422906
38	0.1806646387
39	0.1783279898
40	0.1761466142
41	0.1742496401
42	0.1723738803
43	0.1706170653
44	0.1686083307
45	0.1666936573
46	0.1648104328
47	0.1633002939
48	0.1616603015
49	0.1601148227
50	0.1585969959
51	0.1570001997
52	0.1554519588
53	0.1541154614
54	0.1526448285
55	0.1514055977
56	0.1501326183
57	0.1488304208
58	0.1477532835
59	0.14645057
60	0.1450993959
61	0.1440699891
62	0.1430149044
63	0.1417353164
64	0.1407447971
65	0.1397570115
66	0.1388203901
67	0.1378096417
68	0.1367856878
69	0.1357975659
70	0.1349665906
71	0.1340299597
72	0.1332572818
73	0.1324450855
74	0.1316157313
75	0.1308776039
76	0.1301853581
77	0.1294918838
78	0.1287785977
79	0.1281263417
80	0.1272187183
81	0.1267090806
82	0.1263197328
83	0.1256203386
84	0.1252685321
85	0.1245997096
86	0.1239216774
87	0.1234146217
88	0.1227484027
89	0.1223239369
90	0.1218324283
91	0.1212659148
92	0.120696538
93	0.1201552389
94	0.1196066889
95	0.1191045967
96	0.1186323104
97	0.1182217925
98	0.1176539709
99	0.1173776336
100	0.1170312695
101	0.116588884
102	0.116214575
103	0.1159117652
104	0.1154224066
105	0.1150077583
106	0.1146246242
107	0.1142112447
108	0.113723164
109	0.1132563334
110	0.113000342
111	0.1124872739
112	0.1122055711
113	0.1119174656
114	0.1115676411
115	0.1113087836
116	0.1109971499
117	0.1106571128
118	0.1103482207
119	0.1100145611
120	0.1098006698
121	0.1094907095
122	0.1092296862
123	0.1088345908
124	0.1084042562
125	0.1080631207
126	0.107675616
127	0.1072697745
128	0.1071118755
129	0.1067938806
130	0.1064902695
131	0.1061351184
132	0.1058514947
133	0.1055625433
134	0.1053613011
135	0.1051247839
136	0.1048879761
137	0.1046120177
138	0.1044532186
139	0.1042638028
140	0.104020942
141	0.1037262425
142	0.1035969127
143	0.1034138533
144	0.1031487975
145	0.1028776333
146	0.1026734412
147	0.1023352417
148	0.1020165885
149	0.101792918
150	0.1015123028
151	0.1012483425
152	0.1009192843
153	0.1007523514
154	0.1004979699
155	0.1003713099
156	0.1000742793
157	0.09990106269
158	0.09959686624
159	0.09941508297
160	0.09925072032
161	0.09905114019
162	0.09879638544
163	0.09859208935
164	0.09843331511
165	0.09809867138
166	0.09786122588
167	0.09781240162
168	0.09764450981
169	0.09742153297
170	0.09721086411
171	0.09702116449
172	0.09677301031
173	0.09648471023
174	0.09639326601
175	0.09609927784
176	0.09602465256
177	0.09581209573
178	0.0955896111
179	0.09531218733
180	0.09501370501
181	0.0947032291
182	0.0946665061
183	0.0944916443
184	0.09432836078
185	0.09410430475
186	0.09384843191
187	0.09367071277
188	0.093529234
189	0.0933787862
190	0.09323155886
191	0.09307751043
192	0.09287273422
193	0.09278299351
194	0.09257593281
195	0.09237927493
196	0.0922356968
197	0.09203210789
198	0.09190269803
199	0.09179605457
200	0.09163261469
201	0.09135963319
202	0.0911486876
203	0.09094310269
204	0.09087865562
205	0.09068348462
206	0.09046768888
207	0.09031838947
208	0.09027040807
209	0.09005219839
210	0.08987670925
211	0.08960393907
212	0.08940892646
213	0.08923172276
214	0.08906640102
215	0.0889144382
216	0.08877275415
217	0.08870558033
218	0.0886504154
219	0.08845072522
220	0.08825233891
221	0.08811613838
222	0.08791711616
223	0.08772873311
224	0.08760690157
225	0.08742211994
226	0.08727230661
227	0.08702774036
228	0.08686261301
229	0.08682287738
230	0.0866156429
231	0.08653794449
232	0.08638353272
233	0.08634562106
234	0.08611549854
235	0.08596417808
236	0.08587173819
237	0.08573832067
238	0.08562284124
239	0.08543083434
240	0.08525096795
241	0.08508825519
242	0.08494289875
243	0.08467791241
244	0.084581902
245	0.08443564188
246	0.08429449726
247	0.08411636332
248	0.08395763626
249	0.08392157191
250	0.08379300373
251	0.08358254449
252	0.08334298645
253	0.08317418347
254	0.08305852026
255	0.08290505492
256	0.08285547855
257	0.08276742715
258	0.08261420233
259	0.08247334173
260	0.08242862259
261	0.08225933126
262	0.08205831586
263	0.08182082464
264	0.08177654896
265	0.0815894744
266	0.08144410719
267	0.08133000099
268	0.08125695941
269	0.08118679822
270	0.08097941912
271	0.08085438845
272	0.08078568664
273	0.08061691072
274	0.08059032261
275	0.08054783115
276	0.08041724791
277	0.08028685652
278	0.08016425671
279	0.08006673149
280	0.07996637492
281	0.07979515801
282	0.07976874298
283	0.0797319476
284	0.07969943817
285	0.07956819345
286	0.07937951556
287	0.07934645378
288	0.0791984748
289	0.07909692056
290	0.07906694823
291	0.0789067254
292	0.07876519322
293	0.07863968756
294	0.07852163279
295	0.07836624816
296	0.0782133509
297	0.07806422661
298	0.07789154338
299	0.07771970376
300	0.07762336863
301	0.0775039666
302	0.0773415588
303	0.07722588361
304	0.07719821662
305	0.07709562655
306	0.0769812295
307	0.07685626057
308	0.07683000204
309	0.076715242
310	0.07661589294
311	0.07645761564
312	0.07632712469
313	0.0760884765
314	0.07595777552
315	0.07585261092
316	0.07571068311
317	0.07555628342
318	0.07542555151
319	0.07531311001
320	0.07518371513
321	0.07509707379
322	0.07498406585
323	0.07484079904
324	0.07467663716
325	0.07451454343
326	0.07438845875
327	0.07431623228
328	0.074197181
329	0.07408792263
330	0.07395756761
331	0.07385578446
332	0.0738190696
333	0.07371603958
334	0.07365568256
335	0.07363152244
336	0.07355664695
337	0.07348383612
338	0.07338809601
339	0.07326452948
340	0.07308889605
341	0.07299876904
342	0.07289505637
343	0.07277247476
344	0.07274660103
345	0.07257967886
346	0.07253104526
347	0.07247145807
348	0.07245514773
